,comments,score,sentiments
0,"Masyarakat lebih suka penambangan, karena duitnya lebih besar dari pada wisata, apapun omongan orang, gak penting bagi penduduk lokal, mereka hanya butuh duit",-1,negative
1,"Banyak tqmbang tempat kami dh tau pihak keamanan tp jln truss, cek k daerah kalbar..",-1,negative
2,"Katanya yg punya visi misi hanya Presiden, sekarang lepas tangan, tanya Metri terkait, giana sih Wi ?",-1,negative
3,"SAVE RAJA AMPAT
👇",1,positive
4,"😂 kocak wewenang menteri, jelas2 menteri pembantu presiden alias jongos bahasa kasarnya mah 😂 cuma di level yang berbeda saja. Terus presiden tidak mengetahui itu ngga mungkin 😅",-1,negative
5,Yg tanda tangan kan presiden 😮,0,neutral
6,Kebiasaan selalu lepas tangan  anak buah yg selalu salah,-1,negative
7,Mau apa lg yg mau diributin buktinya proyek Mobil SMK mana benarnya ? Sdh memesan 6000 unit. Proyek IKN  sdh ngantri para Investor nyatanya palsu. Ijazahnya sampai saat ini dari Pramuka.,-1,negative
8,Tikus,0,neutral
9,"laut aja di jual ama jokowi, apalagi pulau",1,positive
10,"Pasti GK bakal ngaku,, mending GK usah di Tya deh",-1,negative
11,"JOKOWI PENDUSTA  PEMBOHONG  PEMERAS PENIPU ,HARUS DI ADILI DAN PENJARA",-1,negative
12,MANA ADA PRESIDEN BISA DI SALAHKAN  YG SALAH YAAA MENTRI YG BERSANGKUTAN 😂😂😂😂,1,positive
13,Ngalor ngidul omongannya,0,neutral
14,Lumayan masih Nongol di media ..sampai 2029😂😂😂😂sapa tau banyak yg kangen dg pak mul😂😂😂,1,positive
15,"Bukan jokowi kalau tidak berkelit,di sumpel petasan baru tahu",-1,negative
16,"Menteri kan pembantu Presiden,apakah mungkin menteri berani tanda tangan tanpa izin presiden.Itu yang gak dimengerti,kalau menteri salah apakah hanya menteri yang bertanggung jawab bukankah atasan lebih bertanggung jawab.????",-1,negative
17,Aset negara?😂,1,positive
18,Enak buang tg jawab kan,-1,negative
19,"Berarti mentri era Jokowi pada jalan masing masing,yg petinng anak dan keluarganya rekeningnya mengalir uang hasil tambang",0,neutral
20,"Gmn gak mo disalahkan para menteri pny atasan, siapa? Ya presiden. Jgn lepas kemudi kl anak buahnya salah yg jebloskan. Semua kebijakan ada di atasannya. Jgn kl salah lngsung banting stir dung...",-1,negative
21,"aah presiden jokowi ijazah juga gak jelas,mau ngomong aroma surga juga gak percaya,presiden bohong,rajanya bohonh kecuali ijazah sudah jelas baru percaya",0,neutral
22,"Sebaiknya semua tambang di tutup aja nggak usah di kelola biarkan indonesia tetap MISKIN nggak usah mikirin gimana membuka lapangan kerja biarkan rakyat hidup apa adanya. Biar para penyinyir dan tukang menggoreng berita puas hatinya.
Kalau banyak pengangguran pemerintah juga yang di salahin.
Pabrik banyak yang tutup karena di demo karyawan nya dan di peras para Preman.",-1,negative
